id	nombre_es	nombre_en
	Turquía	Turkey
	Tuvalu	Tuvalu
	Ucrania	Ukraine
	Uganda	Uganda
	Umm el Kaiwain	Umm Al-Qawain
	Unión Soviética	Soviet Union
	Uruguay	Uruguay
	Uzbekistán	Uzbekistan
	Vanuatu	Vanuatu
	Vaticano	Vatican
	Vaticano	Vatican
	Venda	Venda
	Venezuela	Venezuela
	Vietnam	Viet Nam
	Virreinato de la Nueva España	Viceroyalty of New Spain
	Virreinato de la Nueva Granada	Viceroyalty of New Granada
	Virreinato de La Plata	Viceroyalty of La Plata
	Virreinato del Brasil	Viceroyalty of Brazil
	Virreinato del Perú	Viceroyalty of Peru
	Wake	Wake
	Wallis y Futuna	
	Wallis y Futuna	Wallis and Futuna
	Yemen	Yemen
	Yemen del Norte (para documentos históricos)	Yemen Arab Republic
	Yemen del Sur (para documentos históricos)	South Yemen
	Yibuti	Djibouti
	Yibuti	Djibouti
	Yugoslavia	Yugoslavia
	Zaire (para documentos históricos)	Zaire
	Zambia	Zambia
	Zimbabwe	Zimbabwe
	Zona del Canal (para documentos históricos)	Canal Zone
	Zonas Polares	Polar Zones
		
